0,0
9,0
9,0
10,0
10,0
12,0
15,0
16,0
18,0
19,0
21,0
23,0
24,0
26,0
27,0
29,0
30,0
32,0
33,0
35,0
37,0
38,0
40,0
42,0
43,1
45,1
47,1
50,1
51,1
53,1
55,2
56,2
57,2
59,2
60,2
62,2
64,3
68,3
72,3
74,4
76,4
77,4
78,4
79,4
81,4
82,4
83,4
85,5
86,5
88,5
89,5
90,5
92,5
94,5
95,5
96,5
97,5
99,5
100,5
102,5
103,5
104,5
106,5
107,5
108,5
109,5
111,5
112,4
113,4
115,4
117,4
119,4
120,4
122,4
123,4
124,4
126,4
127,4
129,4
130,4
132,4
133,4
134,4
136,4
137,4
138,4
140,4
141,4
144,4
147,5
150,5
152,5
154,5
155,5
156,5
156,5
156,5
156,5
155,5
152,6
150,6
149,6
147,6
146,6
145,6
144,7
142,7
141,7
139,7
138,7
137,8
136,8
134,8
133,8
131,8
130,8
128,8
126,9
125,9
124,9
123,9
121,9
120,9
119,9
117,9
116,9
114,9
113,9
111,9
110,9
109,9
108,10
106,10
105,10
103,10
102,10
100,10
99,10
98,10
97,9
93,9
92,9
91,9
90,9
88,9
86,9
84,9
82,9
80,9
78,8
77,8
76,8
75,8
73,8
72,8
71,8
70,7
69,7
68,7
67,7
66,7
65,7
64,7
63,6
62,6
61,6
59,6
58,6
56,5
55,5
54,5
53,5
52,5
51,4
50,4
49,4
48,4
47,4
46,3
45,3
44,3
43,3
42,2
41,2
40,2
39,2
38,2
37,1
34,1
33,0
31,0
29,0
25,0
24,-1
23,-1
23,-1
22,-1
21,-1
20,-1
18,-2
17,-2
15,-2
13,-3
11,-3
9,-3
8,-4
6,-4
4,-4
3,-5
1,-5
0,-5
-2,-6
-3,-6
-5,-7
-6,-7
-8,-7
-8,-8
-9,-8
-10,-8
-11,-8
-12,-9
-13,-9
-14,-9
-15,-9
-15,-9
-16,-10
-16,-10
-17,-10
-18,-10
-19,-10
-20,-11
-22,-11
